,PlaceID,Days,StartDate,EndDate,Month,Detection Zone,,
1,1,21,18/04/2018,31/05/2018,May,Moderate,,
2,2,13,19/04/2018,01/05/2018,April,Limited,,
3,3,14,18/04/2018,01/05/2018,April,Far,,
4,4,14,18/04/2018,01/05/2018,April,Limited,,
5,5,14,18/04/2018,01/05/2018,April,Moderate,,
6,6,10,18/04/2018,01/05/2018,April,Far,,
7,7,14,18/04/2018,01/05/2018,April,Close,,
8,8,9,19/04/2018,01/05/2018,April,Limited,,
9,9,4,19/04/2018,22/04/2018,April,Far,,
10,10,13,19/04/2018,01/05/2018,April,Moderate,,
11,11,14,18/04/2018,01/05/2018,April,Moderate,,
12,12,14,18/04/2018,01/05/2018,April,Limited,,
13,13,14,18/04/2018,01/05/2018,April,Close,,
14,14,9,18/04/2018,01/05/2018,April,Limited,,
15,16,12,18/04/2018,01/05/2018,April,Moderate,,
16,17,14,18/04/2018,01/05/2018,April,Moderate,,
17,18,14,18/04/2018,01/05/2018,April,Close,,
18,19,14,18/04/2018,01/05/2018,April,Close,,
19,20,14,18/04/2018,01/05/2018,April,Close,,
20,21,14,18/04/2018,01/05/2018,April,Far,,
21,22,13,19/04/2018,01/05/2018,April,Far,,
22,23,13,19/04/2018,01/05/2018,April,Far,,
23,24,13,19/04/2018,01/05/2018,April,Moderate,,
24,25,15,03/05/2018,17/05/2018,May,Close,,
25,27,43,19/04/2018,16/06/2018,May,Close,,
26,29,15,18/04/2018,02/05/2018,April,Close,,
27,30,15,18/04/2018,02/05/2018,April,Moderate,,
28,31,15,18/04/2018,02/05/2018,April,Moderate,,
29,32,6,26/04/2018,01/05/2018,April,Close,,
30,33,11,18/04/2018,01/05/2018,April,Moderate,,
31,34,23,18/04/2018,26/05/2018,May,Moderate,,
32,35,12,19/04/2018,20/05/2018,May,Moderate,,
33,36,9,23/04/2018,01/05/2018,April,Moderate,,
34,37,12,19/04/2018,01/05/2018,April,Moderate,,
35,38,12,03/05/2018,17/05/2018,May,Close,,
36,39,13,03/05/2018,17/05/2018,May,Limited,,
37,40,12,03/05/2018,17/05/2018,May,Limited,,
38,41,14,19/04/2018,02/05/2018,April,Close,,
39,42,14,19/04/2018,02/05/2018,April,Moderate,,
40,43,28,19/04/2018,15/06/2018,June,Limited,,
41,44,15,18/04/2018,02/05/2018,April,Close,,
42,45,15,18/04/2018,02/05/2018,April,Limited,,
43,46,14,18/04/2018,01/05/2018,April,Moderate,,
